filename-pos,animal-taxon,study-site,deploy-on-latitude,deploy-on-longitude,deploy-off-latitude,deploy-off-longitude,tag-id,ring-id,animal-id,deployment-id,tag-manufacturer-name,tag-model,duty-cycle,tag-readout-method,tag-mass,attachment-type,attachment-body-part,deploy-on-date,deploy-off-date,deployment-end-type,capture-method,manipulation-type,animal-life-stage,deployment-comments,deployment-end-comments,animal-reproductive-condition,animal-mass,deploy-on-measurements,deploy-off-measurements,deploy-off-sampling,attachment-comments,capture-handling-time,deploy-on-person,deploy-off-person,animal-sex
ATPU_URI08a_GullIs2016basestn.csv,Fratercula arctica,Gull,47.2594,-52.7773,47.2594,-52.7773,URI08,190515674,190515674,URI08-190515674,Ecotone,URIA-60,"GPS@5min, off in range of basestation",other-wireless,6,tape,back-mounted,7/8/2016 15:19,7/12/2016 1:29,removal,capture at nesting burrow,none,adult,,,,,,,,,,,,
ATPU_URI08b_GullIs2016basestn.csv,Fratercula arctica,Gull,47.2594,-52.7773,,,URI08,190515671,190515671,URI08-190515671,Ecotone,URIA-60,"GPS@5min, off in range of basestation",other-wireless,6,tape,back-mounted,7/19/2016 14:00,,fall-off,capture at nesting burrow,none,adult,,,,,,,,,,,,m
ATPU_URI09_GullIs2016basestn.csv,Fratercula arctica,Gull,47.2594,-52.7773,,,URI09,190515693,190515693,URI09-190515693,Ecotone,URIA-60,"GPS@5min, off in range of basestation",other-wireless,6,tape,back-mounted,7/7/2016 18:25,,fall-off,capture at nesting burrow,none,adult,,,,,,,,,,,,
ATPU_URI10_GullIs2016basestn.csv,Fratercula arctica,Gull,47.2594,-52.7773,47.2594,-52.7773,URI10,190515695,190515695,URI10-190515695,Ecotone,URIA-60,"GPS@5min, off in range of basestation",other-wireless,6,tape,back-mounted,7/6/2016 14:05,7/9/2016 13:30,removal,capture at nesting burrow,none,adult,,,,,,,,,,,,
ATPU_URI11a_GullIs2016basestn.csv,Fratercula arctica,Gull,47.2594,-52.7773,,,URI11,,URI11a-unk-ATPU-Gull-2016,URI11-URI11a-unk-ATPU-Gull-2016,Ecotone,URIA-60,"GPS@5min, off in range of basestation",other-wireless,6,tape,back-mounted,7/7/2016 19:26,7/10/2016 12:34,removal,capture at nesting burrow,none,adult,"Band originally 190515692; however, this band number was reported for two deployments made on the same day with different tagIDs (URI11a & URI12a). Band numbers now listed as NA.",Deployment end date was not reported but tag was later redeployed. Used datetime of last location before tag remained in range of base station.,,,,,,,,,,
ATPU_URI11b_GullIs2016basestn.csv,Fratercula arctica,Gull,47.2594,-52.7773,47.2594,-52.7773,URI11,,URI11b-unk-ATPU-Gull-2016,URI11-URI11b-unk-ATPU-Gull-2016,Ecotone,URIA-60,"GPS@5min, off in range of basestation",other-wireless,6,tape,back-mounted,7/19/2016 17:10,7/22/2016 1:31,removal,capture at nesting burrow,none,adult,band not reported,,,,,,,,,,,
ATPU_URI12a_GullIs2016basestn.csv,Fratercula arctica,Gull,47.2594,-52.7773,47.2594,-52.7773,URI12,,URI12a-unk-ATPU-Gull-2016,URI12-URI12a-unk-ATPU-Gull-2016,Ecotone,URIA-60,"GPS@5min, off in range of basestation",other-wireless,6,tape,back-mounted,7/7/2016 18:58,7/8/2016 13:30,removal,capture at nesting burrow,none,adult,"Band originally 190515692; however, this band number was reported for two deployments made on the same day with different tagIDs (URI11a & URI12a). Band numbers now listed as NA.",,,,,,,,,,,
ATPU_URI12b_GullIs2016basestn.csv,Fratercula arctica,Gull,47.2594,-52.7773,,,URI12,190515670,190515670,URI12-190515670,Ecotone,URIA-60,"GPS@5min, off in range of basestation",other-wireless,6,tape,back-mounted,7/19/2016 13:00,,fall-off,capture at nesting burrow,none,adult,,,,,,,,,,,,
ATPU_URI13_GullIs2016basestn.csv,Fratercula arctica,Gull,47.2594,-52.7773,,,URI13,190515690,190515690,URI13-190515690,Ecotone,URIA-60,"GPS@5min, off in range of basestation",other-wireless,6,tape,back-mounted,7/7/2016 20:30,,fall-off,capture at nesting burrow,none,adult,,,,,,,,,,,,
ATPU_URI14a_GullIs2016basestn.csv,Fratercula arctica,Gull,47.2594,-52.7773,47.2594,-52.7773,URI14,190515694,190515694,URI14-190515694,Ecotone,URIA-60,"GPS@5min, off in range of basestation",other-wireless,6,tape,back-mounted,7/6/2016 15:15,7/12/2016 1:29,removal,capture at nesting burrow,none,adult,,,,,,,,,,,,
